nameWithOwner,url,createdAt,stargazers,releases,alreadyRead
eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j,2013-11-27T02:03:28Z,12394,0,False
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,2017-03-18T02:50:46Z,12259,0,False
JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,12236,14,False
zhihu/Matisse,https://github.com/zhihu/Matisse,2017-04-13T01:31:05Z,12224,15,False
daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,2014-08-25T04:09:33Z,12191,18,False
daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,12058,9,False
zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,2019-01-01T07:38:28Z,11888,0,False
youth5201314/banner,https://github.com/youth5201314/banner,2016-04-22T05:50:25Z,11836,0,False
Netflix/zuul,https://github.com/Netflix/zuul,2013-03-13T18:53:57Z,11799,5,False
keycloak/keycloak,https://github.com/keycloak/keycloak,2013-07-02T13:38:51Z,11754,19,False
termux/termux-app,https://github.com/termux/termux-app,2015-10-23T09:42:46Z,11698,89,False
apache/druid,https://github.com/apache/druid,2012-10-23T19:08:07Z,11625,48,False
seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,2016-09-09T07:46:32Z,11521,0,False
sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,2015-03-29T17:56:31Z,11429,2,False
hyb1996/Auto.js,https://github.com/hyb1996/Auto.js,2017-01-27T01:01:16Z,11211,0,False
Netflix/eureka,https://github.com/Netflix/eureka,2012-07-26T22:23:07Z,11141,142,False
Yalantis/uCrop,https://github.com/Yalantis/uCrop,2016-01-05T13:41:06Z,11112,15,False
jhy/jsoup,https://github.com/jhy/jsoup,2009-12-19T01:29:58Z,9357,5,False
apereo/cas,https://github.com/apereo/cas,2011-09-09T01:36:42Z,9322,211,False
perwendel/spark,https://github.com/perwendel/spark,2011-05-05T11:52:05Z,9278,0,False
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9090,3,False
koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,2013-01-30T01:37:46Z,9046,56,False
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,8864,13,False
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,2012-10-15T02:22:48Z,8696,32,False
didi/VirtualAPK,https://github.com/didi/VirtualAPK,2017-06-29T07:25:05Z,8646,4,False
GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote,2016-01-04T23:51:36Z,8561,0,False
Freelander/Android_Data,https://github.com/Freelander/Android_Data,2015-04-04T01:37:44Z,8478,0,False
Activiti/Activiti,https://github.com/Activiti/Activiti,2012-09-13T11:34:43Z,8461,30,False
Justson/AgentWeb,https://github.com/Justson/AgentWeb,2017-05-12T07:45:56Z,8455,18,False
android/testing-samples,https://github.com/android/testing-samples,2014-10-11T03:51:27Z,8429,0,False
Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,2017-04-17T15:51:41Z,8351,0,False
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8335,0,False
facebook/buck,https://github.com/facebook/buck,2013-04-17T18:12:18Z,8228,56,False
florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,2015-04-24T17:53:15Z,8209,11,False
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,2011-01-19T19:52:29Z,8160,114,False
OpenFeign/feign,https://github.com/OpenFeign/feign,2013-06-26T23:28:16Z,7919,22,False
HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7899,0,False
